epoch,train_loss,train_acc,train_balanced_acc,train_f1,train_precision,train_recall,val_loss,val_acc,val_balanced_acc,val_f1,val_precision,val_recall,val_auc
19,0.5959067880085537,0.6941428571428572,0.6941428571428572,0.6978549252046289,0.6894868934746236,0.7064285714285714,0.6042592401504516,0.6848333333333333,0.6848333333333334,0.6823450361162439,0.6877751439214358,0.677,0.7442565
20,0.5935144817488535,0.6976071428571429,0.6976071428571429,0.6981354058968234,0.6969179301017866,0.6993571428571429,0.60230180088679,0.684,0.6839999999999999,0.6904995102840352,0.6765834932821497,0.705,0.7464772222222222
21,0.5916533171789987,0.6990357142857143,0.6990357142857142,0.6983786105444003,0.699906736494727,0.6968571428571428,0.6018372311592102,0.6811666666666667,0.6811666666666667,0.6960114412839663,0.6650470695414515,0.73,0.7475036666666666
22,0.5903947710990906,0.7000357142857143,0.7000357142857143,0.7057215934970744,0.6925933567154942,0.7193571428571428,0.6025676738421122,0.6803333333333333,0.6803333333333333,0.6503827925628873,0.7176186645213194,0.5946666666666667,0.749093
23,0.5884524108341762,0.6995714285714286,0.6995714285714285,0.6991631499892712,0.7001145967626414,0.6982142857142857,0.5971212819417318,0.691,0.6910000000000001,0.6977502445386371,0.6828334396936822,0.7133333333333334,0.7524646666666667
24,0.5859753902980259,0.7045,0.7045,0.7062624254473161,0.7020750988142292,0.7105,0.5958681596120199,0.6918333333333333,0.6918333333333333,0.6964373666064686,0.6861857004205759,0.707,0.7535033333333333
25,0.5843176984786987,0.7046071428571429,0.7046071428571429,0.7060872037241036,0.7025670037479669,0.7096428571428571,0.5963427416483561,0.6883333333333334,0.6883333333333334,0.703080342966021,0.6713159490600363,0.738,0.7536168888888889
26,0.5831174740110124,0.7076071428571429,0.7076071428571429,0.7089687533326223,0.7056825419290921,0.7122857142857143,0.5928506611188252,0.6923333333333334,0.6923333333333332,0.6928452579034942,0.6916943521594684,0.694,0.756669888888889
27,0.5819737367630005,0.7032857142857143,0.7032857142857143,0.7051391254968767,0.7007618510158014,0.7095714285714285,0.5928566279411316,0.6926666666666667,0.6926666666666667,0.6969099276791585,0.6874189364461738,0.7066666666666667,0.7559147222222222
28,0.5802045937265669,0.7074285714285714,0.7074285714285714,0.7067373093720913,0.7084110808095306,0.7050714285714286,0.5927221970558166,0.6951666666666667,0.6951666666666667,0.710004756619629,0.6770486846084064,0.7463333333333333,0.7576652777777777
29,0.5790761988503592,0.70775,0.70775,0.7091109452205752,0.7058240747293185,0.7124285714285714,0.5906694285074869,0.6925,0.6925,0.6871290486688146,0.699344149119779,0.6753333333333333,0.7582466666666666
30,0.5773731137003217,0.7097857142857142,0.7097857142857142,0.712170586568433,0.7063659359190556,0.7180714285714286,0.5888926558494568,0.6971666666666667,0.6971666666666667,0.6945705160531181,0.7005764665988471,0.6886666666666666,0.7606102222222223
